;0.0015,0.0027,0.0026,0.0012,0.1228,0.0013,0.0013,0.0035,0.0012,0.0014,0.0025,0.0059,0.0028,0.0013,0.0050,0.0014,0.0055,0.0026
张扬;0.0015,0.0027,0.0026,0.0012,0.0046,0.0083,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0032,0.0026
当局;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0057,0.0014,0.0012,0.0028,0.0142,0.0030,0.0028,0.0013,0.0023,0.0014,0.0032,0.0222
PE3.0;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0035,0.0016,0.0013
川西;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0071,0.0013
法律;0.0015,0.0013,0.0052,0.0024,0.0046,0.0013,0.0082,0.0014,0.0031,0.0028,0.0025,0.0059,0.0923,0.0026,0.0023,0.0099,0.0032,0.0234
米饭;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.1073,0.0012,0.0014,0.0012,0.0120,0.0014,0.0013,0.0023,0.0014,0.0039,0.0013
看上;0.0015,0.0044,0.0026,0.0040,0.0046,0.0013,0.0035,0.0014,0.0012,0.0028,0.0025,0.0030,0.0028,0.0042,0.0122,0.0028,0.0032,0.0026
强强;0.0015,0.0013,0.0026,0.0036,0.0046,0.0026,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0026,0.0023,0.0061,0.0016,0.0013
一体;0.0015,0.0084,0.0052,0.0036,0.0046,0.0034,0.0013,0.0014,0.0024,0.0035,0.0032,0.0030,0.0014,0.0026,0.0023,0.0136,0.0055,0.0013
天文学;0.0015,0.0013,0.0367,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
KanyeWest;0.0015,0.0013,0.0026,0.0012,0.0046,0.0034,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
贼心;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0035,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0032,0.0013
庆生;0.0028,0.0013,0.0026,0.0099,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0043,0.0032,0.0050,0.0014,0.0016,0.0026
巴勒莫;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0055,0.0023,0.0014,0.0032,0.0013
回潮;0.0015,0.0013,0.0026,0.0012,0.0046,0.0034,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0026
箭在弦上;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0035,0.0014,0.0012,0.0014,0.0025,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0044
吃吃喝喝;0.0015,0.0013,0.0026,0.0012,0.0046,0.0026,0.0013,0.0061,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0039,0.0013
助消化;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0088,0.0012,0.0014,0.0012,0.0059,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
政客;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0035,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0095
MSCI;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0279,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
万事;0.0015,0.0013,0.0026,0.0024,0.0136,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0050,0.0014,0.0016,0.0026
皇帝;0.0028,0.0033,0.0026,0.0040,0.0046,0.0013,0.0026,0.0061,0.0126,0.8667,0.0032,0.0089,0.0043,0.0090,0.0072,0.0028,0.0099,0.0038
水落石出;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0026,0.0014,0.0024,0.0028,0.0012,0.0030,0.0014,0.0013,0.0072,0.0014,0.0016,0.0013
埃及;0.0015,0.0013,0.0236,0.0012,0.0046,0.0013,0.0013,0.0028,0.0084,0.0122,0.0041,0.0030,0.0028,0.0013,0.0023,0.0028,0.0126,0.0400
文化;0.0028,0.0084,0.0078,0.0099,0.0090,0.0043,0.0151,0.0150,0.0094,0.0321,0.0097,0.0059,0.0377,0.0080,0.0050,0.0122,0.1063,0.0460
江淮;0.0015,0.0300,0.0026,0.0012,0.0046,0.0013,0.0044,0.0014,0.0012,0.0014,0.0012,0.0030,0.0043,0.0013,0.0023,0.0014,0.0039,0.0013
罗塞夫;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0200
欧美范;0.0015,0.0013,0.0026,0.0012,0.0046,0.0034,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
上乘;0.0015,0.0033,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
工装;0.0015,0.0013,0.0026,0.0024,0.0046,0.0056,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0026,0.0023,0.0014,0.0016,0.0013
进出口;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0070,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
诗词;0.0035,0.0013,0.0026,0.0012,0.0226,0.0026,0.0013,0.0014,0.0012,0.0088,0.0025,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
地方;0.0256,0.0230,0.0262,0.0075,0.0226,0.0113,0.0291,0.0283,0.0114,0.0333,0.0183,0.0534,0.0390,0.0146,0.0342,0.0122,0.6863,0.0270
高尔夫;0.0015,0.0334,0.0026,0.0036,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0025,0.0030,0.0014,0.0109,0.0023,0.0028,0.0039,0.0044
牵引车;0.0015,0.0044,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
建材;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0035,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0028,0.0016,0.0013
电瓶车;0.0028,0.0033,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0090,0.0013,0.0023,0.0014,0.0016,0.0013
泰山;0.0015,0.0013,0.0026,0.0036,0.0046,0.0013,0.0013,0.0028,0.0024,0.0028,0.0025,0.0030,0.0028,0.0080,0.0050,0.0014,0.0354,0.0026
万亿;0.0015,0.0013,0.0052,0.0012,0.0046,0.0013,0.0279,0.0014,0.0012,0.0028,0.0032,0.0030,0.0014,0.0013,0.0023,0.0109,0.0016,0.0026
田螺;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0047,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0032,0.0013
探路;0.0015,0.0013,0.0052,0.0012,0.0046,0.0013,0.0026,0.0014,0.0032,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0071,0.0013
看中;0.0028,0.0013,0.0026,0.0041,0.0046,0.0013,0.0026,0.0014,0.0012,0.0014,0.0032,0.0030,0.0028,0.0080,0.0023,0.0014,0.0016,0.0013
太空站;0.0015,0.0013,0.0078,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
鲜明;0.0015,0.0013,0.0026,0.0012,0.0046,0.0026,0.0013,0.0014,0.0012,0.0014,0.0032,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0045
死角;0.0015,0.0057,0.0026,0.0024,0.0046,0.0083,0.0013,0.0028,0.0024,0.0014,0.0012,0.0030,0.0014,0.0080,0.0023,0.0028,0.0016,0.0013
新乡;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0028,0.0012,0.0028,0.0012,0.0030,0.0090,0.0013,0.0023,0.0014,0.0142,0.0013
病痛;0.0028,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0025,0.0088,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
三亚;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0036,0.0014,0.0012,0.0014,0.0053,0.0030,0.0051,0.0013,0.0023,0.0014,0.1034,0.0013
病症;0.0050,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0028,0.0012,0.0014,0.0012,0.0120,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
雷克萨斯;0.0015,0.0161,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
江湖;0.0028,0.0057,0.0052,0.0151,0.0317,0.0043,0.0115,0.0099,0.0230,0.0184,0.0041,0.0030,0.0043,0.0146,0.0148,0.0061,0.0032,0.0056
贝雷帽;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0032,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
不丹;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0071,0.0056
征地;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0062,0.0013,0.0023,0.0014,0.0016,0.0026
加湿器;0.0035,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
质押;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0163,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
盟友;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0585,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0095
放屁;0.0091,0.0013,0.0026,0.0024,0.0046,0.0013,0.0013,0.0035,0.0012,0.0035,0.0025,0.0120,0.0014,0.0013,0.0050,0.0014,0.0016,0.0013
喜出望外;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0032,0.0030,0.0028,0.0013,0.0023,0.0014,0.0016,0.0013
三亿;0.0015,0.0013,0.0053,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
icon;0.0015,0.0013,0.0026,0.0024,0.0046,0.0083,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
奢侈品;0.0015,0.0013,0.0026,0.0024,0.0090,0.0229,0.0057,0.0035,0.0012,0.0028,0.0012,0.0030,0.0062,0.0026,0.0050,0.0014,0.0016,0.0044
详解;0.0091,0.0185,0.0052,0.0024,0.0046,0.0026,0.0127,0.0123,0.1506,0.0035,0.0118,0.0031,0.0043,0.0026,0.0023,0.0198,0.0071,0.0026
购房;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0070,0.0014,0.0012,0.0014,0.0012,0.0030,0.0028,0.0013,0.0023,0.0014,0.0032,0.0013
不乏;0.0015,0.0027,0.0026,0.0012,0.0046,0.0026,0.0013,0.0014,0.0012,0.0014,0.0041,0.0030,0.0014,0.0026,0.0023,0.0014,0.0016,0.0013
原子量;0.0015,0.0013,0.0077,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
教头;0.0015,0.0013,0.0026,0.0024,0.0046,0.0013,0.0026,0.0014,0.0012,0.0028,0.0041,0.0030,0.0014,0.0080,0.0023,0.0014,0.0016,0.0026
汪洋;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0028,0.0013,0.0023,0.0014,0.0016,0.0056
在望;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0028,0.0012,0.0030,0.0014,0.0033,0.0023,0.0014,0.0016,0.0013
政局;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0028,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0056
二甲双;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0088,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
毫米;0.0028,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0259,0.0030,0.0043,0.0013,0.0023,0.0028,0.0016,0.0013
演员表;0.0015,0.0013,0.0026,0.0040,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0028,0.0013,0.0023,0.0014,0.0016,0.0013
试试;0.0421,0.0071,0.0026,0.0036,0.0090,0.0183,0.0035,0.1847,0.0075,0.0028,0.0032,0.0238,0.0051,0.0055,0.0023,0.0174,0.0087,0.0026
新人;0.0015,0.0044,0.0026,0.0040,0.0046,0.0056,0.0026,0.0014,0.0085,0.0028,0.0012,0.0030,0.0051,0.0122,0.0023,0.0061,0.0039,0.0013
一世;0.0015,0.0013,0.0026,0.0012,0.0227,0.0026,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0072,0.0014,0.0032,0.0013
泼妇;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0043,0.0013,0.0050,0.0014,0.0016,0.0013
故宫;0.0015,0.0013,0.0026,0.0024,0.0046,0.0026,0.0013,0.0014,0.0012,0.0247,0.0012,0.0030,0.0043,0.0013,0.0098,0.0047,0.0183,0.0013
得势;0.0015,0.0013,0.0026,0.0024,0.0046,0.0013,0.0013,0.0014,0.0012,0.0028,0.0012,0.0030,0.0014,0.0013,0.0072,0.0014,0.0016,0.0013
注射;0.0035,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0059,0.0076,0.0013,0.0023,0.0014,0.0016,0.0044
热身赛;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0289,0.0023,0.0014,0.0016,0.0013
影坛;0.0015,0.0013,0.0026,0.0063,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
高家明;0.0015,0.0013,0.0026,0.0036,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
换防;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0032,0.0023,0.0014,0.0016,0.0013
开放;0.0028,0.0033,0.0131,0.0036,0.0090,0.0056,0.0151,0.0035,0.0261,0.0173,0.0163,0.0030,0.0090,0.0055,0.0023,0.0333,0.0610,0.0283
一举;0.0028,0.0013,0.0026,0.0012,0.0046,0.0013,0.0035,0.0014,0.0024,0.0028,0.0012,0.0030,0.0014,0.0026,0.0098,0.0035,0.0016,0.0044
贞操;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0072,0.0014,0.0016,0.0013
城区;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0035,0.0014,0.0012,0.0014,0.0025,0.0030,0.0119,0.0013,0.0023,0.0014,0.0087,0.0069
论述;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0024,0.0014,0.0032,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
结交;0.0015,0.0013,0.0026,0.0012,0.0090,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
麦格理;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0035,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
丁丁;0.0050,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0121,0.0014,0.0055,0.0050,0.0014,0.0016,0.0013
帕萨特;0.0015,0.0474,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
翁美玲;0.0015,0.0013,0.0026,0.0036,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
摩登;0.0015,0.0013,0.0026,0.0036,0.0046,0.0056,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
文史;0.0015,0.0013,0.0026,0.0024,0.0046,0.0013,0.0013,0.0014,0.0012,0.0123,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0032,0.0013
新任;0.0015,0.0013,0.0026,0.0024,0.0046,0.0026,0.0026,0.0014,0.0012,0.0028,0.0032,0.0030,0.0028,0.0055,0.0023,0.0014,0.0016,0.0222
底牌;0.0015,0.0027,0.0026,0.0012,0.0046,0.0013,0.0026,0.0014,0.0012,0.0014,0.0088,0.0030,0.0014,0.0013,0.0050,0.0014,0.0016,0.0013
流入;0.0015,0.0071,0.0026,0.0012,0.0046,0.0013,0.0498,0.0014,0.0012,0.0014,0.0025,0.0030,0.0043,0.0013,0.0023,0.0014,0.0016,0.0044
YSL;0.0015,0.0013,0.0026,0.0012,0.0046,0.0092,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
泽妮;0.0015,0.0013,0.0026,0.0012,0.0090,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
荆芥;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0059,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
萧条;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0036,0.0014,0.0012,0.0035,0.0025,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0056
收工;0.0015,0.0013,0.0026,0.0040,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
方丈;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0028,0.0013,0.0148,0.0014,0.0032,0.0013
停机坪;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0025,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0038
花钱;0.0065,0.0084,0.0026,0.0063,0.0046,0.0113,0.0138,0.0099,0.0094,0.0028,0.0012,0.0326,0.0043,0.0026,0.0051,0.0047,0.0055,0.0044
处女膜;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0088,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
趣味;0.0101,0.0013,0.0052,0.0012,0.0046,0.0043,0.0013,0.0047,0.0166,0.0035,0.0053,0.0030,0.0014,0.0032,0.0072,0.0035,0.0016,0.0013
七七;0.0015,0.0013,0.0026,0.0012,0.0136,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
法庭;0.0015,0.0013,0.0026,0.0024,0.0046,0.0013,0.0026,0.0014,0.0012,0.0047,0.0012,0.0030,0.0195,0.0026,0.0050,0.0047,0.0016,0.0069
相公;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0050,0.0014,0.0016,0.0013
七万;0.0015,0.0092,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0025,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
派出;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0028,0.0107,0.0030,0.0028,0.0026,0.0023,0.0014,0.0016,0.0013
基业;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0026,0.0014,0.0012,0.0061,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
相关;0.0035,0.0013,0.0158,0.0012,0.0046,0.0026,0.0291,0.0047,0.0063,0.0014,0.0053,0.0120,0.0156,0.0013,0.0023,0.0075,0.0016,0.0082
国泰;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0138,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0028,0.0016,0.0026
广电;0.0015,0.0013,0.0026,0.0087,0.0046,0.0013,0.0070,0.0014,0.0032,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0099,0.0016,0.0013
赌徒;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0057,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0122,0.0014,0.0016,0.0038
收市;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0035,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
鸣沙山;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0039,0.0013
泰安;0.0028,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0035,0.0012,0.0028,0.0025,0.0030,0.0043,0.0013,0.0023,0.0014,0.0111,0.0026
一亿;0.0015,0.0033,0.0157,0.0024,0.0046,0.0013,0.0057,0.0014,0.0051,0.0014,0.0025,0.0030,0.0014,0.0055,0.0023,0.0047,0.0016,0.0026
故居;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0028,0.0012,0.0061,0.0025,0.0030,0.0051,0.0026,0.0023,0.0014,0.0126,0.0013
绚丽;0.0015,0.0033,0.0132,0.0012,0.0046,0.0026,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0028,0.0055,0.0013
精辟;0.0035,0.0013,0.0026,0.0024,0.0592,0.0013,0.0026,0.0028,0.0012,0.0014,0.0025,0.0059,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
诡计;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0098,0.0014,0.0016,0.0013
紫色;0.0015,0.0013,0.0026,0.0024,0.0090,0.0149,0.0013,0.0028,0.0031,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0087,0.0038
新作;0.0015,0.0013,0.0026,0.0116,0.0046,0.0013,0.0013,0.0014,0.0470,0.0014,0.0025,0.0030,0.0014,0.0026,0.0023,0.0014,0.0032,0.0013
足协;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0547,0.0023,0.0014,0.0016,0.0013
提要;0.0015,0.0013,0.0026,0.0063,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
没收;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0044,0.0028,0.0012,0.0014,0.0012,0.0030,0.0051,0.0026,0.0023,0.0014,0.0016,0.0069
心上;0.0015,0.0013,0.0026,0.0024,0.0271,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0026
素菜;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0663,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
荣耀;0.0015,0.0057,0.0026,0.0012,0.0046,0.0069,0.0026,0.0014,0.5957,0.0088,0.0041,0.0030,0.0014,0.0109,0.0023,0.0334,0.0016,0.0069
当官;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0026,0.0014,0.0012,0.0088,0.0012,0.0030,0.0014,0.0026,0.0051,0.0014,0.0016,0.0026
归宿;0.0015,0.0013,0.0052,0.0012,0.0090,0.0013,0.0013,0.0014,0.0012,0.0075,0.0041,0.0030,0.0028,0.0026,0.0023,0.0014,0.0016,0.0013
强度;0.0015,0.0013,0.0210,0.0012,0.0046,0.0013,0.0013,0.0014,0.0039,0.0014,0.0041,0.0030,0.0014,0.0033,0.0023,0.0036,0.0016,0.0013
武警;0.0015,0.0027,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.1114,0.0030,0.0051,0.0026,0.0023,0.0014,0.0016,0.0013
活力;0.0050,0.0044,0.0052,0.0099,0.0046,0.0229,0.0035,0.0061,0.0039,0.0028,0.0012,0.0059,0.0028,0.0055,0.0023,0.0047,0.0032,0.0044
结伴;0.0015,0.0013,0.0077,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0051,0.0013,0.0023,0.0014,0.0032,0.0013
活动;0.0028,0.0084,0.0417,0.0374,0.0046,0.0254,0.0127,0.0028,0.1152,0.0047,0.0228,0.0030,0.0378,0.0109,0.0072,0.0185,0.0381,0.0611
绝世;0.0015,0.0013,0.0026,0.0051,0.0090,0.0034,0.0035,0.0014,0.0063,0.0198,0.0025,0.0030,0.0014,0.0013,0.0023,0.0014,0.0087,0.0038
流出;0.0050,0.0033,0.0026,0.0075,0.0090,0.0043,0.0221,0.0047,0.0051,0.0014,0.0025,0.0059,0.0043,0.0032,0.0051,0.0035,0.0040,0.0069
法式;0.0015,0.0033,0.0026,0.0024,0.0046,0.0083,0.0013,0.0047,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
江浙;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0035,0.0075,0.0012,0.0035,0.0025,0.0030,0.0028,0.0013,0.0023,0.0035,0.0156,0.0013
万两;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0035,0.0012,0.0030,0.0028,0.0013,0.0023,0.0014,0.0016,0.0013
